ax,ay,az,gx,gy,gz
-10168.0,-380.0,10764.0,2398.0,-9397.0,-13147.0
-6672.0,-152.0,772.0,-10085.0,-32768.0,-11806.0
13872.0,-936.0,10604.0,-6735.0,-32768.0,-13499.0
21804.0,1840.0,11696.0,-11516.0,-32768.0,-7433.0
21460.0,-5024.0,12716.0,-13737.0,-32768.0,-3080.0
23672.0,-2956.0,11844.0,-6419.0,-11476.0,-2266.0
13312.0,-2328.0,8580.0,2899.0,-1805.0,-2949.0
19704.0,-1860.0,14664.0,5323.0,1589.0,-876.0
16024.0,-344.0,14476.0,7966.0,-2907.0,-3522.0
21312.0,1792.0,18764.0,9193.0,10031.0,-7401.0
13336.0,2588.0,14016.0,4828.0,32095.0,2490.0
13696.0,-1116.0,19956.0,-2841.0,32767.0,12847.0
5120.0,-4400.0,20920.0,5926.0,28487.0,5313.0
-1504.0,28.0,18824.0,-4827.0,32767.0,12987.0
-3708.0,-1652.0,21104.0,6790.0,29205.0,4928.0
-6476.0,2732.0,15156.0,1230.0,25584.0,-2162.0
-8128.0,1188.0,13036.0,629.0,2637.0,-11443.0
-9892.0,-692.0,9344.0,-2935.0,-9475.0,-9568.0
-5792.0,-480.0,5512.0,2879.0,-32768.0,-10213.0
7500.0,-392.0,9860.0,1109.0,-32768.0,-1256.0
16164.0,3476.0,11412.0,-5867.0,-32768.0,-3582.0
29004.0,2128.0,13692.0,-20263.0,-32768.0,-4904.0
20616.0,-1944.0,12692.0,-5547.0,-14352.0,-2689.0
15872.0,1236.0,6952.0,-1097.0,-2869.0,-3812.0
15968.0,-1144.0,10832.0,-1330.0,1329.0,1504.0
15336.0,1120.0,13036.0,1619.0,5478.0,-64.0
15936.0,564.0,18212.0,4427.0,29161.0,5396.0
14276.0,-2372.0,20920.0,7354.0,32767.0,14403.0
6372.0,-444.0,19644.0,1792.0,32767.0,12826.0
-2316.0,-3528.0,20408.0,1353.0,32767.0,14634.0
-5636.0,-728.0,19540.0,1694.0,32767.0,14336.0
-8360.0,1068.0,16988.0,6740.0,32767.0,7545.0
-11608.0,3852.0,7920.0,3298.0,12118.0,-4828.0
-11260.0,860.0,10416.0,2073.0,-2963.0,-10463.0
-11944.0,1568.0,2672.0,3605.0,-32506.0,-14095.0
-752.0,-2296.0,13944.0,-1112.0,-32768.0,-10858.0
8524.0,3772.0,8388.0,-1488.0,-32768.0,-13671.0
14272.0,-7328.0,16228.0,-3276.0,-32768.0,-9589.0
23356.0,60.0,7684.0,-15768.0,-32768.0,-1550.0
22100.0,-8688.0,16952.0,-4754.0,-27405.0,-3144.0
24176.0,-80.0,11140.0,-5123.0,410.0,4430.0
16756.0,-2636.0,11816.0,-269.0,6778.0,3181.0
6832.0,3324.0,3396.0,3559.0,-9064.0,954.0
14084.0,-672.0,14228.0,3332.0,6771.0,-2132.0
18584.0,-1548.0,20344.0,13090.0,29685.0,4058.0
14764.0,2040.0,16556.0,5601.0,32767.0,10105.0
9736.0,2016.0,19208.0,-1339.0,32767.0,9506.0
2572.0,-736.0,17412.0,-1736.0,32767.0,11020.0
-7012.0,-3080.0,17208.0,9058.0,32767.0,3995.0
-13832.0,-204.0,13532.0,381.0,30596.0,-422.0
-14408.0,604.0,6712.0,3579.0,-7400.0,-12597.0
-5804.0,-1824.0,12612.0,-467.0,-19744.0,-8782.0
-6208.0,556.0,8648.0,7397.0,-31560.0,-9649.0
4348.0,-1776.0,12028.0,901.0,-32768.0,-5670.0
12756.0,1928.0,11536.0,2812.0,-32768.0,-9580.0
20204.0,2628.0,11172.0,-6909.0,-32768.0,-5142.0
24436.0,-2704.0,15872.0,-10454.0,-32768.0,-3458.0
18036.0,-1408.0,9680.0,-3340.0,-8226.0,1942.0
15304.0,-1732.0,9712.0,-3605.0,670.0,1117.0
14812.0,1036.0,11284.0,2399.0,-309.0,2999.0
17516.0,-176.0,15136.0,3150.0,6368.0,1175.0
16304.0,-708.0,17888.0,10056.0,20151.0,5728.0
15252.0,1224.0,19232.0,5271.0,32767.0,6018.0
9736.0,-968.0,22192.0,-5909.0,32767.0,13857.0
-924.0,-5540.0,18864.0,-3311.0,32767.0,15015.0
-8184.0,236.0,11244.0,1368.0,32767.0,7468.0
-10212.0,-3268.0,16572.0,2840.0,32767.0,1450.0
-10056.0,-712.0,10036.0,5621.0,6604.0,-8908.0
-9236.0,-2632.0,13512.0,4894.0,-14077.0,-11642.0
-9076.0,-1356.0,6872.0,13319.0,-32768.0,-11087.0
2600.0,-504.0,8284.0,6669.0,-32768.0,-6165.0
10652.0,2004.0,10952.0,3615.0,-32768.0,-13055.0
21776.0,1748.0,10548.0,-8289.0,-32768.0,-3138.0
24528.0,28.0,10784.0,-11048.0,-31883.0,-5191.0
17940.0,-3756.0,9916.0,-1617.0,-10341.0,2958.0
19708.0,324.0,6284.0,-2587.0,-5238.0,2856.0
14988.0,-1940.0,9392.0,2966.0,7434.0,3949.0
18340.0,1184.0,11356.0,6089.0,8414.0,-303.0
17976.0,316.0,16568.0,4848.0,21580.0,-2018.0
11640.0,-784.0,15300.0,7860.0,28287.0,4361.0
14792.0,-612.0,23308.0,-5306.0,32767.0,12927.0
7796.0,-1852.0,21332.0,-883.0,32767.0,12916.0
-9032.0,-4856.0,13588.0,4631.0,32767.0,10690.0
-5096.0,-2068.0,19052.0,1732.0,23740.0,5295.0
-13244.0,-1648.0,8044.0,3642.0,-457.0,-8011.0
-56.0,-5388.0,25608.0,2680.0,-13910.0,-1397.0
-3728.0,1656.0,13092.0,7384.0,-3460.0,2268.0
-1088.0,2548.0,9116.0,-491.0,-27209.0,389.0
